size;compute_throughput;memory_throughput;achieved_occupancy
1000000;0.34;1.78;6.0
5000000;0.34;2.53;7.0
9000000;0.34;2.61;7.3
10000000;0.35;2.7;7.4
50000000;0.35;2.98;8.7
90000000;0.36;3.06;9.5
